Date, Open, High, Low, Close
12/29/23, 15099.20, 15111.41, 14955.37, 15011.35
12/28/23, 15142.09, 15150.07, 15087.22, 15095.14
12/27/23, 15089.66, 15114.08, 15051.67, 15099.18
12/26/23, 15028.69, 15101.18, 15024.06, 15074.57
12/22/23, 15006.18, 15047.19, 14927.12, 14992.97
12/21/23, 14923.14, 14970.81, 14837.47, 14963.87
12/20/23, 14973.36, 15069.29, 14776.29, 14777.94
12/19/23, 14923.02, 15003.80, 14921.60, 15003.22
12/18/23, 14814.02, 14938.04, 14811.82, 14904.81
12/15/23, 14797.46, 14848.41, 14753.16, 14813.92
12/14/23, 14798.72, 14855.62, 14642.23, 14761.56
12/13/23, 14555.68, 14743.56, 14517.52, 14733.96
12/12/23, 14423.01, 14533.40, 14385.39, 14533.40
12/11/23, 14340.13, 14436.08, 14324.57, 14432.49
12/08/23, 14279.45, 14416.92, 14264.96, 14403.97
12/07/23, 14230.43, 14353.11, 14220.87, 14339.99
12/06/23, 14325.62, 14327.64, 14138.51, 14146.71
12/05/23, 14126.40, 14285.66, 14121.76, 14229.91
12/04/23, 14168.66, 14197.52, 14058.52, 14185.49
12/01/23, 14181.35, 14311.95, 14135.00, 14305.03
11/30/23, 14265.05, 14289.20, 14127.06, 14226.22
11/29/23, 14367.11, 14423.22, 14247.89, 14258.49
11/28/23, 14224.63, 14303.66, 14195.72, 14281.76
11/27/23, 14239.31, 14305.71, 14205.24, 14241.02
11/24/23, 14238.03, 14270.28, 14214.13, 14250.85
11/22/23, 14283.82, 14359.61, 14226.63, 14265.86
11/21/23, 14217.23, 14237.50, 14146.31, 14199.98
11/20/23, 14134.75, 14309.80, 14134.20, 14284.53
11/17/23, 14101.43, 14154.32, 14063.93, 14125.48
11/16/23, 14066.88, 14130.45, 14033.79, 14113.67
11/15/23, 14147.27, 14194.36, 14060.69, 14103.84
11/14/23, 14015.37, 14124.06, 14003.14, 14094.38
11/13/23, 13745.96, 13805.10, 13687.78, 13767.74
11/10/23, 13571.19, 13802.53, 13556.35, 13798.11
11/09/23, 13693.69, 13697.82, 13506.02, 13521.45
11/08/23, 13660.22, 13684.87, 13573.58, 13650.41
11/07/23, 13555.79, 13675.46, 13516.56, 13639.86
11/06/23, 13514.08, 13551.62, 13435.99, 13518.78
11/03/23, 13362.85, 13520.28, 13344.73, 13478.28
11/02/23, 13230.49, 13302.18, 13177.64, 13294.19
