Date,Ticker,Open,High,Low,Close,Adj Close,Volume
1/3/22,SPY,476.299988,477.850006,473.850006,477.709991,461.611755,72668200
1/4/22,SPY,479.220001,479.980011,475.579987,477.549988,461.457123,71178700
1/5/22,SPY,477.160004,477.980011,468.279999,468.380005,452.596191,104538900
1/6/22,SPY,467.890015,470.820007,465.429993,467.940002,452.171021,86858900
1/7/22,SPY,467.950012,469.200012,464.649994,466.089996,450.383331,85111600
1/10/22,SPY,462.700012,465.73999,456.600006,465.51001,449.822906,119362000
1/11/22,SPY,465.230011,469.850006,462.049988,469.75,453.920044,74303100
1/12/22,SPY,471.589996,473.200012,468.940002,471.019989,455.147217,67605400
1/13/22,SPY,472.190002,472.880005,463.440002,464.529999,448.875885,91173100
1/14/22,SPY,461.190002,465.089996,459.899994,464.720001,449.05957,95890900
1/18/22,SPY,459.73999,459.959991,455.309998,456.48999,441.106812,109709100
1/19/22,SPY,458.130005,459.609985,451.459991,451.75,436.526581,109357600
1/20/22,SPY,453.75,458.73999,444.5,446.75,431.695099,122379700
1/21/22,SPY,445.559998,448.059998,437.950012,437.980011,423.220612,202271200
1/24/22,SPY,432.029999,440.380005,420.76001,439.839996,425.017883,251783900
1/25/22,SPY,433.059998,439.720001,427.149994,434.470001,419.828949,167997300
1/26/22,SPY,440.720001,444.040009,428.859985,433.380005,418.775665,186391100
1/27/22,SPY,438.26001,441.589996,429.450012,431.23999,416.707733,149878300
1/28/22,SPY,432.679993,442,427.820007,441.950012,427.056854,164457400
1/31/22,SPY,441.23999,450.279999,439.809998,449.910004,434.748627,152251400
2/1/22,SPY,450.679993,453.630005,446.940002,452.950012,437.686157,123155400
2/2/22,SPY,455.5,458.119995,453.049988,457.350006,441.937866,117361000
2/3/22,SPY,450.950012,452.970001,445.709991,446.600006,431.550079,118024400
2/4/22,SPY,446.350006,452.779999,443.829987,448.700012,433.579346,118454400
2/7/22,SPY,449.51001,450.98999,445.850006,447.26001,432.187897,84472900
2/8/22,SPY,446.730011,451.920013,445.220001,450.940002,435.743835,81012000
2/9/22,SPY,455.220001,457.880005,455.01001,457.540009,442.12149,92589900
2/10/22,SPY,451.339996,457.709991,447.200012,449.320007,434.178497,140103700
2/11/22,SPY,449.410004,451.609985,438.940002,440.459991,425.617035,153214600
2/14/22,SPY,439.920013,441.600006,435.339996,439.019989,424.225555,123006300
2/15/22,SPY,443.730011,446.279999,443.179993,446.100006,431.066986,88482700
2/16/22,SPY,443.929993,448.059998,441.940002,446.600006,431.550079,84863600
2/17/22,SPY,443.220001,446.570007,436.420013,437.059998,422.331604,102259100
2/18/22,SPY,437.329987,438.660004,431.820007,434.230011,419.596985,132642900
2/22/22,SPY,431.890015,435.5,425.859985,429.570007,415.093994,124391800
2/23/22,SPY,432.660004,433.26001,421.350006,421.950012,407.730835,132578000
2/24/22,SPY,411.019989,428.76001,410.640015,428.299988,413.866821,213942900
2/25/22,SPY,429.609985,437.839996,427.859985,437.75,422.998352,121804500
2/28/22,SPY,432.029999,438.200012,430.700012,436.630005,421.916138,145615000
3/1/22,SPY,435.040009,437.170013,427.109985,429.980011,415.490234,137785900
3/2/22,SPY,432.369995,439.720001,431.570007,437.890015,423.133636,117726500
3/3/22,SPY,440.470001,441.109985,433.799988,435.709991,421.027161,105501700
3/4/22,SPY,431.75,433.369995,427.880005,432.170013,417.606445,113978200
3/7/22,SPY,431.549988,432.299988,419.359985,419.429993,405.295715,137896600
