Ticker,Date,Open,High,Low,Close,Adj Close,Volume
META,1/2/13,27.440001,28.18,27.42,28,27.970324,69846400
META,1/3/13,27.879999,28.469999,27.59,27.77,27.740568,63140600
META,1/4/13,28.01,28.93,27.83,28.76,28.729517,72715400
META,1/7/13,28.690001,29.790001,28.65,29.42,29.388819,83781800
META,1/8/13,29.51,29.6,28.860001,29.059999,29.0292,45871300
META,1/9/13,29.67,30.6,29.49,30.59,30.557579,104787700
META,1/10/13,30.6,31.450001,30.280001,31.299999,31.266825,95316400
META,1/11/13,31.280001,31.959999,31.1,31.719999,31.68638,89598000
META,1/14/13,32.080002,32.209999,30.620001,30.950001,30.917196,98892800
META,1/15/13,30.639999,31.709999,29.879999,30.1,30.068098,173242600
META,1/16/13,30.209999,30.35,29.530001,29.85,29.818363,75332700
META,1/17/13,30.08,30.42,30.030001,30.139999,30.108055,40256700
META,1/18/13,30.309999,30.440001,29.27,29.66,29.628563,49631500
META,1/22/13,29.75,30.889999,29.74,30.73,30.69743,55243300
META,1/23/13,31.1,31.5,30.799999,30.82,30.787334,48899800
META,1/24/13,31.27,31.49,30.809999,31.08,31.047058,43845100
META,1/25/13,31.41,31.93,31.129999,31.540001,31.506573,54363600
META,1/28/13,31.879999,32.509998,31.809999,32.470001,32.435585,59682500
META,1/29/13,32,32.07,30.709999,30.790001,30.757366,72976500
META,1/30/13,30.98,31.49,30.879999,31.24,31.206888,87682100
META,1/31/13,29.15,31.469999,28.74,30.98,30.947165,190744900
META,2/1/13,31.01,31.02,29.629999,29.73,29.698488,85856700
META,2/4/13,29.059999,29.200001,28.01,28.110001,28.080208,92362200
META,2/5/13,28.26,28.959999,28.040001,28.639999,28.609644,47948200
META,2/6/13,28.74,29.290001,28.66,29.049999,29.019209,38375900
META,2/7/13,29.110001,29.15,28.27,28.65,28.619635,34540100
META,2/8/13,28.889999,29.17,28.51,28.549999,28.519739,37708800
META,2/11/13,28.610001,28.68,28.040001,28.26,28.230047,37361800
META,2/12/13,27.67,28.16,27.1,27.370001,27.340992,93498700
META,2/13/13,27.360001,28.32,27.309999,27.91,27.880419,50164000
META,2/14/13,28.02,28.629999,28.01,28.5,28.469793,35615800
META,2/15/13,28.52,28.75,28.09,28.32,28.289984,33109300
META,2/19/13,28.23,29.08,28.120001,28.93,28.899338,49396400
META,2/20/13,28.92,29.049999,28.33,28.459999,28.429834,42098200
META,2/21/13,28.280001,28.549999,27.15,27.280001,27.251087,49642300
META,2/22/13,27.620001,27.629999,26.82,27.129999,27.101244,36350200
META,2/25/13,27.16,27.639999,27.15,27.27,27.241096,34652000
META,2/26/13,27.360001,27.459999,26.700001,27.389999,27.36097,31611700
META,2/27/13,27.34,27.34,26.629999,26.870001,26.841522,44319700
META,2/28/13,26.84,27.299999,26.34,27.25,27.221119,83027800
META,3/1/13,27.049999,28.120001,26.809999,27.780001,27.750557,54064800
META,3/4/13,27.76,28.059999,27.440001,27.719999,27.690619,32400700
META,3/5/13,27.879999,28.18,27.209999,27.52,27.490831,40622200
META,3/6/13,28.1,28.129999,27.35,27.450001,27.420906,33532600
META,3/7/13,27.57,28.68,27.469999,28.58,28.549707,74540200
META,3/8/13,28.43,28.469999,27.73,27.959999,27.930365,44198900
META,3/11/13,28.01,28.639999,27.83,28.139999,28.110174,35642100
META,3/12/13,28.1,28.32,27.6,27.83,27.800503,27569600
META,3/13/13,27.620001,27.65,26.92,27.08,27.051298,39619500
META,3/14/13,27.1,27.43,26.83,27.040001,27.011341,27646400
META,3/15/13,27.030001,27.059999,26.559999,26.65,26.621754,31597400
META,3/18/13,26.370001,26.790001,25.780001,26.49,26.461924,26653700
META,3/19/13,26.530001,26.9,26.209999,26.549999,26.521858,25254200
META,3/20/13,26.68,26.690001,25.780001,25.860001,25.832592,44006500
META,3/21/13,25.66,26.110001,25.559999,25.74,25.712719,24336100
META,3/22/13,25.799999,26.01,25.629999,25.73,25.702728,18456300
META,3/25/13,25.75,25.799999,25.08,25.129999,25.103365,39199000
META,3/26/13,25.08,25.48,25.030001,25.209999,25.183279,26957200
META,3/27/13,25,26.280001,24.719999,26.09,26.062347,52297400
META,3/28/13,26.09,26.17,25.52,25.58,25.552889,28585700
META,4/1/13,25.629999,25.889999,25.280001,25.530001,25.502941,22249300
META,4/2/13,25.77,26.120001,25.299999,25.42,25.393057,35153300
META,4/3/13,25.83,26.389999,25.700001,26.25,26.222178,48195200
META,4/4/13,26.620001,27.23,26.110001,27.07,27.041309,82016800
META,4/5/13,26.860001,27.799999,26.610001,27.389999,27.36097,64566600
META,4/8/13,27.190001,27.200001,26.629999,26.85,26.821543,27256000
META,4/9/13,26.58,26.889999,26.42,26.59,26.561817,21311100
META,4/10/13,27.01,27.84,26.9,27.57,27.540779,45949400
META,4/11/13,27.48,28.1,27.25,28.02,27.990303,33368500
META,4/12/13,28,28,27.24,27.4,27.370958,28697400
META,4/15/13,27.16,27.48,26.360001,26.52,26.491892,30275400
META,4/16/13,26.809999,27.110001,26.4,26.92,26.891468,27365900
META,4/17/13,26.65,27.200001,26.389999,26.629999,26.601774,26440600
META,4/18/13,26.82,26.82,25.15,25.690001,25.662771,39059000
META,4/19/13,25.620001,25.959999,25.33,25.73,25.702728,20380900
META,4/22/13,25.809999,26.360001,25.700001,25.969999,25.942474,25687600
META,4/23/13,26.219999,26.33,25.77,25.98,25.952463,25191500
META,4/24/13,25.93,26.4,25.799999,26.110001,26.082327,19729900
META,4/25/13,26.07,26.4,26,26.139999,26.112293,17150000
META,4/26/13,26.6,27.620001,26.6,26.85,26.821543,33018000
META,4/29/13,27.16,27.41,26.860001,26.98,26.951405,29201100
META,4/30/13,27.129999,27.85,27.01,27.77,27.740568,36245700
META,5/1/13,27.85,27.92,27.309999,27.43,27.400927,64567600
META,5/2/13,28.01,29.02,27.98,28.969999,28.939295,104257000
META,5/3/13,29.040001,29.07,28.15,28.309999,28.279993,58506400
META,5/6/13,28.33,28.459999,27.48,27.57,27.540779,43939400
META,5/7/13,27.549999,27.85,26.85,26.889999,26.8615,41259100
META,5/8/13,26.879999,27.299999,26.65,27.120001,27.091257,34654900
META,5/9/13,27.08,27.549999,26.85,27.040001,27.011341,33457200
